Left Side Player,Loser,Loser ELO Update,Right Side Player,Time,Winner,Winner ELO Update
M2,Chris,1376.96,Chris,9/27/18 15:23,M2,1523.04
Chris,Chris,1375.24,SunChow,9/27/18 15:23,SunChow,2001.72
MP,M2,1519.18,M2,9/27/18 15:24,MP,2003.86
Carts,D$,1784.62,D$,9/27/18 15:24,Carts,2015.38
SunChow,SunChow,1978.54,PPJ,9/27/18 15:25,PPJ,2123.18
Ali,Spidey,1784.62,Spidey,9/27/18 15:25,Ali,2015.38
Chris,M2,1474.63,M2,9/27/18 15:26,Chris,1419.79
Chris,Chris,1417.32,SunChow,9/27/18 15:27,SunChow,1981.01
D$,D$,1752.62,Spidey,9/27/18 15:28,Spidey,1816.62
Carts,Carts,1993,PPJ,9/27/18 15:28,PPJ,2145.56
Ali,Ali,1982.32,MP,9/27/18 15:29,MP,2036.92
Carts,Spidey,1799.6,Spidey,9/27/18 15:30,Carts,2010.02
Ali,SunChow,1949.13,SunChow,9/27/18 15:30,Ali,2014.2
MP,MP,2014.61,PPJ,9/27/18 15:31,PPJ,2167.87
Ali,Ali,1981.82,Carts,9/27/18 15:32,Carts,2042.4
MP,MP,1985.16,Carts,9/27/18 15:32,Carts,2071.85
M2,M2,1473.47,PPJ,9/27/18 18:20,PPJ,2169.03
Carts,Chris,1415.87,Chris,9/27/18 18:21,Carts,2073.3
MP,Spidey,1783.23,Spidey,9/27/18 18:22,MP,2001.53
Ali,D$,1739.12,D$,9/27/18 18:22,Ali,1995.32
M2,M2,1462.07,D$,9/27/18 18:23,D$,1750.52
Spidey,Chris,1408.98,Chris,9/27/18 18:24,Spidey,1790.12
PPJ,Carts,2049.9,Carts,9/27/18 18:25,PPJ,2192.43
Ali,MP,1968.96,MP,9/27/18 18:25,Ali,2027.89
D$,Carts,1995.59,Carts,9/27/18 18:26,D$,1804.83
MP,Spidey,1773.28,Spidey,9/27/18 18:28,MP,1985.8
MP,MP,1938.49,D$,9/27/18 18:28,D$,1852.14
Ali,Ali,2010,PPJ,9/27/18 18:29,PPJ,2210.32
Ali,Ali,1964.38,D$,9/27/18 18:30,D$,1897.76
M1,Alex,1354.98,Alex,10/1/18 17:55,M1,1295.02
SunChow,SunChow,1912.63,RonRon,10/1/18 17:55,RonRon,1936.5
PPJ,M1,1294.69,M1,10/1/18 17:56,PPJ,2210.65
MP,Fonz,1495.25,Fonz,10/1/18 17:57,MP,1943.24
Jodie,Jodie,999.75,Ali,10/1/18 17:57,Ali,1964.63
SunChow,Alex,1352.5,Alex,10/1/18 17:58,SunChow,1915.11
MP,RonRon,1905.12,RonRon,10/1/18 17:58,MP,1974.62
M1,M1,1292.94,SunChow,10/1/18 17:59,SunChow,1916.86
RonRon,RonRon,1874.2,SunChow,10/1/18 18:00,SunChow,1947.78
Fonz,Jodie,996.26,Jodie,10/1/18 18:01,Fonz,1498.74
PPJ,Ali,1952.13,Ali,10/1/18 18:01,PPJ,2223.15
Fonz,Fonz,1494.36,Ali,10/1/18 18:02,Ali,1956.51
SunChow,SunChow,1916.58,Ali,10/1/18 18:03,Ali,1987.71
PPJ,PPJ,2171.5,MP,10/1/18 18:04,MP,2026.27
PPJ,Ali,1971.22,Ali,10/1/18 18:04,PPJ,2187.99
PPJ,MP,2008.17,MP,10/1/18 18:05,PPJ,2206.09
PPJ,MP,1992.65,MP,10/1/18 18:06,PPJ,2221.61
MP,Jodie,996.05,Jodie,10/1/18 19:27,MP,1992.86
Fonz,Fonz,1487.9,RonRon,10/1/18 19:28,RonRon,1880.66
M1,M1,1291.22,SunChow,10/1/18 19:29,SunChow,1918.3
PPJ,RonRon,1872.78,RonRon,10/1/18 19:30,PPJ,2229.49
Ali,Alex,1350.73,Alex,10/1/18 19:32,Ali,1972.99
Jodie,Jodie,992.49,Fonz,10/1/18 19:32,Fonz,1491.46
RonRon,RonRon,1815.19,Fonz,10/1/18 19:33,Fonz,1549.05
MP,PPJ,2178.54,PPJ,10/1/18 19:35,MP,2043.81
Ali,Ali,1935.99,SunChow,10/1/18 19:36,SunChow,1955.3
PPJ,Fonz,1547.39,Fonz,10/1/18 19:37,PPJ,2180.2
M1,M1,1289.69,Ali,10/1/18 19:38,Ali,1937.52
MP,MP,2003.83,SunChow,10/1/18 19:38,SunChow,1995.28
Ali,Ali,1924.83,PPJ,10/1/18 19:39,PPJ,2192.89
MP,PPJ,2145.01,PPJ,10/1/18 19:40,MP,2051.71
MP,MP,2014.56,SunChow,10/1/18 19:41,SunChow,2032.43
MP,MP,1984.2,SunChow,10/4/18 0:18,SunChow,2062.79
D$,D$,1885.33,PPJ,10/6/18 13:51,PPJ,2157.44
PPJ,Carts,1977.5,Carts,10/6/18 13:52,PPJ,2175.53
Carts,Fonz,1542.43,Fonz,10/9/18 14:35,Carts,1982.46
Ali,Ali,1898.25,MP,10/9/18 15:38,MP,2010.78
Carts,Carts,1957.73,SunChow,10/9/18 15:46,SunChow,2087.52
MP,MP,1985.74,SunChow,10/9/18 15:47,SunChow,2112.56
Ali,Fonz,1535.12,Fonz,10/9/18 15:47,Ali,1905.56
Ali,Ali,1878.33,Carts,10/9/18 15:47,Carts,1984.96
MP,MP,1953.67,Carts,10/9/18 15:47,Carts,2017.03
SunChow,Carts,1993.61,Carts,10/9/18 16:00,SunChow,2135.98
Carts,Carts,1933.14,Peter,10/9/18 17:42,Peter,1560.47
Fonz,Fonz,1529.84,MP,10/9/18 17:42,MP,1958.95
Ali,RonRon,1788.94,RonRon,10/9/18 17:43,Ali,1904.58
SunChow,Peter,1558.22,Peter,10/9/18 17:44,SunChow,2138.23
Carts,Fonz,1524.12,Fonz,10/9/18 17:44,Carts,1938.86
Peter,Peter,1544.81,RonRon,10/9/18 17:45,RonRon,1802.35
Carts,RonRon,1782.31,RonRon,10/9/18 17:46,Carts,1958.9
MP,MP,1921.98,Ali,10/9/18 17:46,Ali,1941.55
Carts,Carts,1923.51,MP,10/9/18 17:47,MP,1957.37
SunChow,Ali,1925.95,Ali,10/9/18 17:49,SunChow,2153.83
MP,Ali,1896.84,Ali,10/9/18 17:49,MP,1986.48
MP,MP,1968.8,SunChow,10/9/18 17:50,SunChow,2171.51
Carts,Fonz,1518.28,Fonz,10/9/18 18:37,Carts,1929.35
MP,RonRon,1766.01,RonRon,10/9/18 18:37,MP,1985.1
Peter,Peter,1537.36,Ali,10/9/18 18:38,Ali,1904.29
SunChow,Carts,1916.63,Carts,10/9/18 18:39,SunChow,2184.23
RonRon,RonRon,1715.54,Peter,10/9/18 18:40,Peter,1587.83
Fonz,Fonz,1512.41,Carts,10/9/18 18:41,Carts,1922.5
Peter,Peter,1579.69,Carts,10/9/18 18:42,Carts,1930.64
MP,Ali,1879.6,Ali,10/9/18 18:42,MP,2009.79
Ali,Carts,1893.97,Carts,10/9/18 18:43,Ali,1916.27
MP,SunChow,2137.39,SunChow,10/9/18 18:44,MP,2056.63
SunChow,SunChow,2087.39,Ali,10/9/18 18:45,Ali,1966.27
MP,MP,2016.49,Ali,10/9/18 18:46,Ali,2006.41
MP,MP,1983.56,Ali,10/9/18 18:46,Ali,2039.34
MP,Carts,1870.04,Carts,10/11/18 14:49,MP,2007.49
RonRon,Fonz,1497.24,Fonz,10/11/18 14:50,RonRon,1730.71
Fonz,Fonz,1490.54,Carts,10/11/18 14:51,Carts,1876.74
RonRon,Ali,1984.6,Ali,10/11/18 14:51,RonRon,1785.45
Carts,Carts,1854.37,Ali,10/11/18 14:52,Ali,2006.97
RonRon,RonRon,1771.51,MP,10/11/18 14:53,MP,2021.43
RonRon,RonRon,1758.39,Ali,10/11/18 14:54,Ali,2020.09
MP,Ali,1988.21,Ali,10/11/18 14:54,MP,2053.31
Ali,Ali,1937.67,RonRon,10/11/18 18:21,RonRon,1808.93
D$,D$,1850.49,Carts,10/11/18 18:21,Carts,1889.21
D$,D$,1826.36,Ali,10/11/18 18:22,Ali,1961.8
RonRon,Carts,1849.94,Carts,10/11/18 18:22,RonRon,1848.2
MP,Fonz,1488.13,Fonz,10/11/18 18:23,MP,2055.72
Ali,Carts,1827.9,Carts,10/11/18 18:24,Ali,1983.84
Ali,Ali,1923.33,Fonz,10/11/18 18:25,Fonz,1548.64
MP,RonRon,1833.32,RonRon,10/11/18 18:25,MP,2070.6
Fonz,Fonz,1538.23,RonRon,10/11/18 18:26,RonRon,1843.73
MP,MP,2020.24,RonRon,10/11/18 18:27,RonRon,1894.09
MP,RonRon,1873.22,RonRon,10/11/18 18:27,MP,2041.11
Carts,Fonz,1528.07,Fonz,10/11/18 19:35,Carts,1838.06
D$,D$,1798.65,RonRon,10/11/18 19:36,RonRon,1900.93
D$,Fonz,1516.93,Fonz,10/11/18 19:37,D$,1809.79
RonRon,Carts,1811.79,Carts,10/11/18 19:38,RonRon,1927.2
D$,D$,1777.97,Carts,10/11/18 19:38,Carts,1843.61
Ali,MP,1998.66,MP,10/11/18 19:39,Ali,1965.78
Carts,MP,1953.26,MP,10/11/18 19:40,Carts,1889.01
Ali,RonRon,1898.74,RonRon,10/11/18 19:41,Ali,1994.24
Carts,RonRon,1865.84,RonRon,10/11/18 19:41,Carts,1921.91
Carts,Carts,1896.48,Ali,10/11/18 19:42,Ali,2019.67
Fonz,PPJ,2112.94,PPJ,10/15/18 15:56,Fonz,1579.52
SunChow,Carts,1880.48,Carts,10/15/18 15:57,SunChow,2103.39
Alex,Alex,1349.4,Ali,10/15/18 15:58,Ali,2021
MP,D$,1760.87,D$,10/15/18 15:59,MP,1970.36
Alex,Alex,1348.62,PPJ,10/15/18 16:00,PPJ,2113.72
D$,D$,1739.47,Carts,10/15/18 16:00,Carts,1901.88
Fonz,SunChow,2042.38,SunChow,10/15/18 16:01,Fonz,1640.53
MP,Ali,1984.37,Ali,10/15/18 16:02,MP,2006.99
SunChow,SunChow,2016.86,PPJ,10/15/18 16:03,PPJ,2139.24
Ali,Ali,1944.91,Carts,10/15/18 16:05,Carts,1941.34
PPJ,Carts,1925.82,Carts,10/15/18 16:05,PPJ,2154.76
Fonz,Fonz,1633.61,MP,10/15/18 16:06,MP,2013.91
Fonz,Fonz,1630.57,PPJ,10/15/18 16:06,PPJ,2157.8
MP,MP,1994.45,PPJ,10/15/18 16:07,PPJ,2177.26
MP,MP,1977.89,PPJ,10/15/18 16:08,PPJ,2193.82
Fonz,Fonz,1628.16,PPJ,10/15/18 18:24,PPJ,2196.23
Carts,Carts,1902.02,SunChow,10/15/18 18:25,SunChow,2040.66
MP,D$,1726.53,D$,10/15/18 18:25,MP,1990.83
Ali,Alex,1346.62,Alex,10/15/18 18:26,Ali,1946.91
Carts,Carts,1855.1,D$,10/15/18 18:27,D$,1773.45
Fonz,Fonz,1574.73,Alex,10/15/18 18:28,Alex,1400.05
PPJ,SunChow,2022.1,SunChow,10/15/18 18:29,PPJ,2214.79
Ali,Ali,1918.93,MP,10/15/18 18:29,MP,2018.81
MP,Alex,1398.28,Alex,10/15/18 18:30,MP,2020.58
SunChow,D$,1761.11,D$,10/15/18 18:31,SunChow,2034.44
SunChow,SunChow,2001.16,MP,10/15/18 18:32,MP,2053.86
Ali,Ali,1909.07,PPJ,10/15/18 18:33,PPJ,2224.65
Ali,Ali,1889.68,MP,10/15/18 18:33,MP,2073.25
PPJ,PPJ,2179.53,MP,10/15/18 18:34,MP,2118.37
PPJ,MP,2091.95,MP,10/15/18 18:34,PPJ,2205.95
PPJ,Carts,1847.6,Carts,10/15/18 19:22,PPJ,2213.45
SunChow,Alex,1396.35,Alex,10/15/18 19:23,SunChow,2003.09
MP,Fonz,1571.63,Fonz,10/15/18 19:23,MP,2095.05
Ali,D$,1740.44,D$,10/15/18 19:24,Ali,1910.35
Carts,Alex,1391.92,Alex,10/15/18 19:25,Carts,1852.03
D$,Fonz,1554.06,Fonz,10/15/18 19:26,D$,1758.01
SunChow,PPJ,2164.14,PPJ,10/15/18 19:27,SunChow,2052.4
MP,Ali,1893.92,Ali,10/15/18 19:27,MP,2111.48
Carts,SunChow,2003.75,SunChow,10/15/18 19:28,Carts,1900.68
Ali,Ali,1850,D$,10/15/18 19:29,D$,1801.93
Carts,Carts,1859.82,D$,10/15/18 19:29,D$,1842.79
MP,MP,2084.29,PPJ,10/15/18 19:30,PPJ,2191.33
MP,D$,1830.03,D$,10/15/18 19:31,MP,2097.05
MP,MP,2073.53,PPJ,10/15/18 19:32,PPJ,2214.85
Chris,Chris,1350.32,Jodie,,Jodie,1051.15
Carts,D$,1800.77,D$,10/16/18 15:12,Carts,1889.08
Ali,Fonz,1544.2,Fonz,10/16/18 15:13,Ali,1859.86
D$,D$,1748.67,Fonz,10/16/18 15:13,Fonz,1596.3
Carts,Carts,1867.27,SunChow,10/16/18 15:14,SunChow,2025.56
Ali,Ali,1845.38,MP,10/16/18 15:15,MP,2088.01
Carts,Fonz,1585.19,Fonz,10/16/18 15:16,Carts,1878.38
Carts,Carts,1843.35,Ali,10/16/18 15:17,Ali,1880.41
MP,SunChow,1999.25,SunChow,10/16/18 15:18,MP,2114.32
Ali,Ali,1858.95,SunChow,10/16/18 15:19,SunChow,2020.71
MP,MP,2073.9,SunChow,10/16/18 15:20,SunChow,2061.13
MP,MP,2040.72,SunChow,10/16/18 15:21,SunChow,2094.31
Ali,Fonz,1574.22,Fonz,10/16/18 17:46,Ali,1869.92
Carts,D$,1725.18,D$,10/16/18 17:46,Carts,1866.84
D$,Fonz,1555.31,Fonz,10/16/18 17:47,D$,1744.09
Carts,Carts,1849.64,MP,10/16/18 17:47,MP,2057.92
Ali,SunChow,2044.11,SunChow,10/16/18 17:48,Ali,1920.12
Carts,Carts,1833.89,SunChow,10/16/18 17:49,SunChow,2059.86
D$,D$,1735.15,SunChow,10/16/18 17:50,SunChow,2068.8
Ali,MP,2013.85,MP,10/16/18 17:52,Ali,1964.19
MP,SunChow,2031.78,SunChow,10/16/18 17:52,MP,2050.87
Ali,Ali,1940.01,MP,10/16/18 17:54,MP,2075.05
Ali,Ali,1919.86,MP,10/16/18 17:54,MP,2095.2
Ali,Ali,1872.29,D$,10/16/18 19:12,D$,1782.72
Fonz,Fonz,1551.44,SunChow,10/16/18 19:13,SunChow,2035.65
Carts,Carts,1778.06,MH,10/16/18 19:14,MH,1555.83
MP,SeaBass,1497.98,SeaBass,10/16/18 19:14,MP,2097.22
Carts,Carts,1727.72,Fonz,10/16/18 19:15,Fonz,1601.78
Ali,SeaBass,1491.33,SeaBass,10/16/18 19:16,Ali,1878.94
D$,D$,1770.62,SunChow,10/16/18 19:17,SunChow,2047.75
MP,MH,1553.11,MH,10/16/18 19:18,MP,2099.94
Fonz,Fonz,1565.33,MH,10/16/18 19:18,MH,1589.56
Ali,D$,1748.29,D$,10/16/18 19:20,Ali,1901.27
Ali,MH,1580.44,MH,10/16/18 19:20,Ali,1910.39
MP,MP,2063.17,SunChow,10/16/18 19:22,SunChow,2084.52
MP,MP,2017.94,Ali,10/16/18 19:25,Ali,1955.62
SunChow,SunChow,2041.16,Ali,10/16/18 19:25,Ali,1998.98
SunChow,SunChow,2005.29,Ali,10/16/18 19:26,Ali,2034.85
Jodie,Jodie,1046.44,SeaBass,,SeaBass,1496.04
D$,D$,1714.4,Carts,10/17/18 15:14,Carts,1761.61
Fonz,Fonz,1560.62,SunChow,10/17/18 15:14,SunChow,2010
MP,Alex,1390.22,Alex,10/17/18 15:15,MP,2019.64
juju,juju,1497.18,Ali,10/17/18 15:15,Ali,2037.67
D$,Alex,1381.64,Alex,10/17/18 15:16,D$,1722.98
juju,juju,1470.96,Fonz,10/17/18 15:16,Fonz,1586.84
SunChow,SunChow,1978.89,MP,10/17/18 15:18,MP,2050.75
Ali,Carts,1750.76,Carts,10/17/18 15:18,Ali,2048.52
D$,SunChow,1926.82,SunChow,10/17/18 15:18,D$,1775.05
Fonz,Fonz,1568.91,Carts,10/17/18 15:19,Carts,1768.69
D$,D$,1742.46,Carts,10/17/18 15:20,Carts,1801.28
MP,Ali,2016.73,Ali,10/17/18 15:22,MP,2082.54
Carts,Carts,1786.92,Ali,10/17/18 15:23,Ali,2031.09
MP,Ali,2003.79,Ali,10/17/18 15:23,MP,2109.84
Carts,Carts,1772.65,Ali,10/17/18 15:52,Ali,2018.06
Carts,Ali,1966.59,Ali,10/17/18 15:55,Carts,1824.12
Alex,Alex,1379.51,Ali,10/17/18 17:07,Ali,1968.72
Fonz,Fonz,1561.68,SunChow,10/17/18 17:07,SunChow,1934.05
D$,Carts,1784.73,Carts,10/17/18 17:08,D$,1781.85
MP,juju,1469.38,juju,10/17/18 17:09,MP,2111.42
Alex,Fonz,1514.29,Fonz,10/17/18 17:10,Alex,1426.9
juju,juju,1460.42,Carts,10/17/18 17:10,Carts,1793.69
Ali,SunChow,1905.23,SunChow,10/17/18 17:11,Ali,1997.54
D$,D$,1773.5,MP,10/17/18 17:12,MP,2119.77
D$,Alex,1419.24,Alex,10/17/18 17:13,D$,1781.16
SunChow,SunChow,1863.3,Carts,10/17/18 17:14,Carts,1835.62
D$,Carts,1798.64,Carts,10/17/18 17:14,D$,1818.14
Ali,MP,2076.95,MP,10/17/18 17:15,Ali,2040.36
D$,D$,1806.37,MP,10/17/18 17:16,MP,2088.72
Ali,MP,2052.29,MP,10/17/18 17:17,Ali,2076.79
juju,Chris,1328.13,Chris,,juju,1482.61